pmid,gene_ID,host_db
18452584,PGAL8A_00230000,PlasmoDB
18452584,PocGH01_12044300,PlasmoDB
18452584,PRCDC_1469700,PlasmoDB
18452584,PmUG01_12046400,PlasmoDB
18452584,PRELSG_1210200,PlasmoDB
18452584,PVP01_1236300,PlasmoDB
18452584,PY17X_1338400,PlasmoDB
18466298,PY17X_0903500,PlasmoDB
18515835,PCHAS_0614200,PlasmoDB
18515835,PCHAS_0805100,PlasmoDB
18515835,PCHAS_1105200,PlasmoDB
18515835,PCHAS_1235600,PlasmoDB
18515835,PCHAS_1304400,PlasmoDB
18515835,PCHAS_1329900,PlasmoDB
18515835,PCHAS_1333200,PlasmoDB
18515835,PCHAS_1337500,PlasmoDB
18515835,PCHAS_1337600,PlasmoDB
18515835,PCHAS_1425900,PlasmoDB
18515835,PCHAS_1430900,PlasmoDB
18515835,PF3D7_0411100,PlasmoDB
18515835,PF3D7_0505900,PlasmoDB
18515835,PF3D7_0520200,PlasmoDB
18515835,PF3D7_0707600,PlasmoDB
18515835,PF3D7_1126400,PlasmoDB
18515835,PF3D7_1213200,PlasmoDB
18515835,PF3D7_1463000,PlasmoDB
18515835,PF3D7_1465200,PlasmoDB
18515835,PF3D7_1469700,PlasmoDB
18515835,PF3D7_1469800,PlasmoDB
18515835,PF3D7_1475000,PlasmoDB
18515835,PBANKA_0612500,PlasmoDB
18515835,PBANKA_0804800,PlasmoDB
18515835,PBANKA_1105500,PlasmoDB
18515835,PBANKA_1235000,PlasmoDB
18515835,PBANKA_1301200,PlasmoDB
18515835,PBANKA_1326600,PlasmoDB
18515835,PBANKA_1328600,PlasmoDB
18515835,PBANKA_1332900,PlasmoDB
18515835,PBANKA_1333000,PlasmoDB
18515835,PBANKA_1424100,PlasmoDB
18515835,PBANKA_1429000,PlasmoDB
18515835,PKNH_0106100,PlasmoDB
18515835,PKNH_0309200,PlasmoDB
18515835,PKNH_0924300,PlasmoDB
18515835,PKNH_1012900,PlasmoDB
18515835,PKNH_1027700,PlasmoDB
18515835,PKNH_1211200,PlasmoDB
18515835,PKNH_1211300,PlasmoDB
18515835,PKNH_1216300,PlasmoDB
18515835,PKNH_1218500,PlasmoDB
18515835,PKNH_1245300,PlasmoDB
18515835,PKNH_1432500,PlasmoDB
18515835,PGAL8A_00027000,PlasmoDB
18515835,PGAL8A_00047700,PlasmoDB
18515835,PGAL8A_00061700,PlasmoDB
18515835,PGAL8A_00067600,PlasmoDB
18515835,PGAL8A_00196300,PlasmoDB
18515835,PGAL8A_00222400,PlasmoDB
18515835,PGAL8A_00224600,PlasmoDB
18515835,PGAL8A_00229200,PlasmoDB
18515835,PGAL8A_00229300,PlasmoDB
18515835,PGAL8A_00353100,PlasmoDB
18515835,PGAL8A_00527800,PlasmoDB
18515835,PocGH01_01015400,PlasmoDB
18515835,PocGH01_03018500,PlasmoDB
18515835,PocGH01_09032700,PlasmoDB
18515835,PocGH01_10021500,PlasmoDB
18515835,PocGH01_10035600,PlasmoDB
18515835,PocGH01_12045000,PlasmoDB
18515835,PocGH01_12045100,PlasmoDB
18515835,PocGH01_12049600,PlasmoDB
18515835,PocGH01_12051800,PlasmoDB
18515835,PocGH01_12077700,PlasmoDB
18515835,PocGH01_14039300,PlasmoDB
18515835,PRCDC_0408500,PlasmoDB
18515835,PRCDC_0505100,PlasmoDB
18515835,PRCDC_0519300,PlasmoDB
18515835,PRCDC_0705800,PlasmoDB
18515835,PRCDC_1124900,PlasmoDB
18515835,PRCDC_1212500,PlasmoDB
18515835,PRCDC_1462300,PlasmoDB
18515835,PRCDC_1464400,PlasmoDB
18515835,PRCDC_1468900,PlasmoDB
18515835,PRCDC_1469000,PlasmoDB
18515835,PRCDC_1474100,PlasmoDB
18515835,PmUG01_01019100,PlasmoDB
18515835,PmUG01_03021100,PlasmoDB
18515835,PmUG01_06019000,PlasmoDB
18515835,PmUG01_09035600,PlasmoDB
