"gene_ID","pmid","has_summary","has_PD","host_db"
"TGME49_269442",26374117,TRUE,NA,"ToxoDB"
"TGME49_305050",26374117,TRUE,NA,"ToxoDB"
"AN10076",26378255,TRUE,NA,"FungiDB"
"TGME49_227650",26466679,TRUE,NA,"ToxoDB"
"Afu2g12910",26529322,TRUE,NA,"FungiDB"
"Afu7g02260",26529322,TRUE,NA,"FungiDB"
"PF3D7_0313500",26540393,TRUE,NA,"PlasmoDB"
"PBANKA_1346000",26573820,TRUE,NA,"PlasmoDB"
"PF3D7_0404400",26612952,TRUE,NA,"PlasmoDB"
"TGME49_258400",26635770,TRUE,NA,"ToxoDB"
